Posts,Emotion
xưng_hô phép,5
mày giận tao hả bố mày đi game tối dỗ chờ mãi câu giận mày,4
ngại thương bệnh_viện bến_xe tổ_hợp tạp_âm vội_vã hỗn_độn lo_toan hai buồn vuilần bệnh_viện tuần người_thân khám bệnh may kết_quả vạ_vật hành_lang chờ lượt tâm_trạng khô_khốc giây_phút khoảnh_khắc cuộc_sống xã_hội xung_quanh đau_khổ nàybệnh viện hôm chuyên mảng y_học tấp_nập bệnh_viện bình_dân toàn nghèo chủ_yếu miền tây sài_gòn khám bệnh người_lớn trông khắc_khổ vết nhăn chen_chúc khuôn_mặt quạo cọ mấy đứa con_nít còi_cọc chân_tay đen nhòng chạy loanh_quanh dọc hành_lang mấy đứa hiếu_động trèo ghế kéo đổ rổ đựng hồ_sơ có_lẽ người_nhà lẫn y bác_sỹ hơi_đâu_mà mắng ta bận đổ dòng suy_nghĩ lo_toan tờ kết_quả khám bệnh may kéo cuộc_đời bế_tắc mặt cháu thằng bé trông lanh_lợi lắm chọc mấy đứa khóc_lóc kim tiêm tò_mò ngó phòng bác_sỹ háo_hức vô_tư_lự mặt bần_thần bận cháu tờ hoá_đơn bệnh việnmình chẳng y bác_sỹ nhăn_nhó khó_chịu lớn_tiếng khuôn_mặt vô_cảm lặng_im cho_xong tất_nhiên thông_cảm áp_lực giá_như giãn mặt một_chút bệnh_viện toàn màu xám_xịt tự_dưng câu rap bray hơi vô_duyên hợp hoàn_cảnh vl buồn_cười kẻ tổn_thương tổn_thương bệnh_nhân bệnh_viện đau thể_xác lo_lắng hiển_hiện bác_sỹ mệt_mỏi quên giấu cảm_xúc vật_chất cũ_mèm mấy vết nứt tường xẻ ngang_dọc nối khổ_đau bệnh_viện thê_thảm ta mơ đi trung_tâm thương_mại tuần mơ bữa buffet thịt ngon_lành mơ nhà_lầu xe_hơi làm_chi ta mong đau kia chữa lành tốn tiền yên_lành phút phút ấyrồi hẳn sống phung_phí khu chen_chúc bệnh_viện chỗ chật nêm tồi_tàn quá_tải học y vạ_vật đi bệnh_viện bệnh_viện khổ_đau bé mười mấy u não khối_u chèn mắt cắt mắt chỗ đàng_hoàng nằm nghỉ_ngơi con_em nằm co_ro ghế xếp cũ góc bệnh_viện thương lắm bệnh_viện người_thân bệnh_nhân nằm gốc hiên bệnh_viện trời sài_gòn nóng thế_này thấu thiệt bắt_tội mấy thằng_cha tham_nhũng ăn_chặn tiền dân mấy thằng tiền quyền mà_còn ấu dâm làm_trò xằng_bậy đem bệnh_viện bắt hành_lang ta đau_khổ hong nước_mắt hối_lỗi hongcòn bến_xe nhắc vui trở bươn_chải chia_ly xe rời bến chở niềm háo_hức chở đi nỗi buồn mất_mát vạ_vật bến_xe xem_chừng thê_thảm chẳng kém bệnh_viện thể_loại cò_mồi cướp_giật lừa_đảo nhức đầucuộc sống công_bằng hả mấy phút đọc mạng tin_tức siêu_thị phương tây khoá thùng rác ăn_xin vô_gia_cư lục đồ_ăn thừa đồ_ăn thừa đóng_hộp nhựa sản_xuất lắm vứt đi ô_nhiễm môi_trường vô_lý vãi củ cà_rốt gói bọc nilon lớp hộp nhựa đống đồ_ăn vứt đi khuất mắt cứu mảnh đời con_người khốn_khổ đất_nước chiến_tranh cốc trong_lành con_người cạn tình tiền chẳng tiền sung_sướng sung_sướng bận_tâm bao_đồng khôngchẳng viết dòng hẳn giỏi vẽ_chuyện chẳng giúp khổ_đau kia bao lo thân gia_đình giúp_đỡ gián_tiếp lao_động kiếm tiền đóng thuế nhà_nước xây điện đường_trường trạm điều_chỉnh thân sống văn_minh một_tí chịu_khó xong ôm cục rác đi vứt chỗ đi_ngoài đường lách ngang lách dọc bóp còi inh_ỏi nhức nách thay_vì khẩu nghiệp sân_si tiểu tam giặt mấy bịch nilon thanh_bình xã_hội làm_tròn vai_trò giao trách_nhiệm gánh_vác cụ nho_giáo dạy mẹ hong xong bớt làm_phiền xã_hội hihiphoto by peter nguyen on unsplash,2
dạo viết đều_đặn câu trả_lời khả_năng dạo lạc lối cuộc_đời rỗng_tuếch nhỉdạo nghĩa_là tầm đổ vui buồn sợ_hãi hoang_mang hứng_khởi mộng_mơ cung_bậc cảm_xúc hơi ham vui phù_phiếm đi tuần xách ba_lô đi chỗ dăm_ba chẳng_thể phủ_nhận chuyến vui tả con_người yêu hết_mực kỳ_diệu lộng_lẫy cuộc_sống chuyến chạy trốn thực tạicó rỗng hứng_thú đức con_người văn_hoá ngôn_ngữ lịch_sử ẩm_thực chủ_yếu mơ currywurst mộng_mơ sải cánh bay hồn_nhiên mưa mùa hạ ai_ngờ nhắc đức toàn phiền_muộn phàn_nàn tâm_sự hàn_huyên ly học cày úc cân_bằng cố_gắng chẳng ganh_tị chí_cốt ngưỡng_mộ cố_gắng lắm chả cố_gắng mấy lắm chút cạnh_tranh bé tụt lùi nhúc_nhích đọc mấy sách câu_chuyện biến_đổi khí_hậu kinh_tế chốt đề_tài khoá_luận sự_cố gắng rung_động trống nhỏ_xíu nằm rời đi can_đảm lữ_hành thấu_hiểu yêu_thương can_đảm ham_muốn hơi ngừng muốncuộc sống vui hạnh_phúc hoang_mang hoang_mang hoài_nghi sách buồn đọc nhạc buồn chốn màng đi đếnnhững lạc lối trở_nên cảm_thông hết_thảy simone de beauvoir the ethics of ambiguity con_người sinh đấu_tranh mơ_hồ ý_nghĩa tồn_tại trái_đất nàydạo tranh van gogh tranh van gogh đời khổ tác_phẩm hề tranh van gogh tràn_đầy sống tự_do say_mê hân_hoan đẹp cuộc_sống i think when you re young you should be lot with yourself and your sufferings then one day you get out where the sun shines and the rain rains and the snow snows and it all comes together diana vreelandtôi thần sầu cảm_xúc tựu cuộc_đời vui đau_đáu lẽ sống đời chả mục_đích cao_siêu sống thoả hết_mình phen sống tinh_thần nhặt kiếm đi rừng thẳmlúc viết mấy dòng giọng ca liam gallagher oasis cất lêncause all of the starsare fading awayjust try not to worryyoull see them some daytake what you needand be on your wayand stop crying your heart outthôi kế_hoạch hít một_hơi sâu đấy cuộc_đời vận_hành,2
hỏng thế_hệ,0
mua mộc bờ sông ghê li dm,5
đốt cháy_túi tiền chi,4
mạng_nhện đóng kín,5
chỗ móng bàn nv chư tao đi_lại,0
mấy góc cầu bể thành_quả mấy đứa mập chân ngắn,5
phạt,0
chồng hạnh_phúc lắm sống vợ đứa yêu mẹ lắm thặc mẹ lắm kkk,1
mày uống trà sữa đéo,5
bữa thử mày,5
cố_gắng đi ta xíu lướt gió,5
buồn thờ_ơ vô_cảm,2
chúc vui_vẻ,1
yêu phết nhể,1
quanh biển khoảnh_khắc một_mình trưởng_thành cố_gắng giấu đi cảm_xúc một_mình chịu_đựng một_mình tổn_thương,2
chào hiện_giờ khuyên,5
yêu loài_người,5
vẩn xài kk,1
hát cuộc_đời đẹp tình_yêu đẹp,1
cười vãi mặt con_bé hài ghê,1
buồn tổn_thương thất_vọng mệt từ_bỏ nhéhãy học một_mình ta nỗi buồn lẽ bắt_nguồn chẳng kết_thúc mỉm cười cho_qua chẳng cuộc_đời chẳng nỗi buồn,2
giọng tát mặt,0
thằng sửa xe đau tim chết lắm thằng sợ rắn,3
cỡ chịu_đựng yêu,1
đm mất_dạy vãi tưởng khúc dume giật_mình,3
ác con_người con_bé tha,3
tao ghét mấy tiếng cười bọn khựa vãi video lồn nge,0
cảnh_tỉnh chị_em câu nuôi,2
tao mơ,1
dume dăm_ba đứa lông mọc bày_đặt thể_hiện cặc bà_cô_giáo óc chó lão chủ sân,4
mày lười vãi lồn,0
cổ_chân năng xuất cại tiền công chia,5
đm hú_hồn,3
nv thu nhâ p thi hu tao ma u ngươ i dân phi hê tao,0
trẩu,0
thề cưng thiệc,1
đập chết mẹ đi ta nhồi máu tim giết gián_tiếp mỹ gọi giết cấp_độ đấy,0
chị_em set kèo nhậu đê,1
câu vô_ý ảnh_hưởng đôi_khi tổn_thương suy_nghĩ kĩ ảnh_hưởng đùa vui tổn_thương giả_lời đừng đừng,5
tao tao tiền động_lực phấn_đấu,1
bảo ly_hôn dma,4
đồng_nghiệp,0
kinh_doanh đỗ xe cửa đường,0
khuyên,0
diễn vãi,0
ngu đi phủ dầy chợ,0
cảm_giác thanh_thản vãi,1
cực_kì stress gia_đình lí_do sống lớp học cực_kì áp_lực học lớp học lớp kiểu im_lặng cực hẳn lên_lớp sống trầm lấn_chiếm kiểu chiều quen lớp rửa bát cắm cơm kiểu lầm_lầm_lì_lì khinh rảnh dọn nấu cơm hình_như ỷ_lại học_kì lớp cực_kì tranh_thủ nấu cơm rửa bát phụ_trách tụi chia toàn kiểu nấu dọn rửa xong im bàn học toàn rửa nhà_ăn cơm muộn rửa xong h rưỡi đợi học xong h nói_chuyện kiểu khó_chịu mâu_thuẫn hai nhắc mấy đấy áp_lực ba_mẹ cạnh mệt_mỏi cực_kì bất_lực stress,3
thằng tương_lai tức bố_mẹ giàu,5
độc_thân,2
dume đọc bình_luận bực giùm chủ thớt,4
t mẹ tao vả đéo,4
xã_hội may_mắn trân_trọng,1
may tài_xế,1
tối_qua tao mưa,5
crush béo xấu gái vui_vẻ and vui_vẻ auto nhục,2
cưng,1
thất_bại,2
hôn_lễ huỷ_hoại câu okay có_lẽ cô_dâu hiếm_hoi lễ cưới đăng stt chỉ_trích mời thay_vì lạ hiền hiền tình_cảm haters cực_kỳ cục_súc phép tiệc cưới nhà_trai make up tóc mặc váy công túa tiếng đồng_hồ kỹ_càng diện_mạo lộng_lẫy đón_tiếp quan_khách vui váy cưới makeup look hôm xinh_xẻo hôm_nay hoàn_hảo bạn_bè chồng bạn_bè đứa đông bận_rộn vui liên_tục update diễn_biến lễ cưới hội bạn_bè theo_dõi ngóng thở câu thế_này cô_dâu xấu đổi kịp chẳng vô_tư chồng điện_thoại vợ bảo bảo xấu rơm_rớm khóc đi mâm quan_khách lau nước_mắt giả_vờ kệnh mi đỡ chú_ý thiết_tha bạn_bè chồng đứng bơ_vơ cửa mặc_dù chồng anh_em gọi ăn_uống giao_lưu tâm_trạng hoạt_động vui_vẻ chụp ảnh kết_thúc trốn góc đấy xả quan_khách liên_tục cháu mệt cháu đi mấy lắc_đầu thua kìm_nén bật khóc mặt bố_mẹ đẻ bố_mẹ chồng nội_ngoại hai khóc trôi lông_mi đi thử ta gái đẹp hạnh_phúc cô_dâu chúc_phúc khen_ngợi xã_giao chê_bai thô_thiển đừng bao_biện câu đùa vô_duyên thở câu xúc_phạm cực_kỳ ác_ý tất_nhiên sai sai cố_hữu cực_kỳ nhạy_cảm tiêu_cực sai tổn_thương ảnh_hưởng không_khí tiệc xong phép để_dành chỉn_chu anh_chị_em bạn_bè thân_thương viết love,4
mua bộ_đồ tết điệu_đà tán gái tán,5
hình_ảnh rõ_ràng kiện chúng_nó tội quấy_rối đi mịe lũ khốn_kiếp hay_ho lắm cái_trò dơ_bẩn,4
chào bạnmình h p h ngvà cn quê dnhân dịp đi cấp_cứu ba_lan bệnh_nhân nườm_nượp lũ sinh_viên đi đẩy cảng liệt hai chân đêm vất_va_vất_vưởng bvđúng chuẩn h ngủ bệnh_nhân vlịch học trường mỏng vướng_bận thi_cử quyết_định book vé quê thoả nỗi nhớvề quê chiêu_đãi âm_thanh hỗn_độn thân_thuộc xóm_làng lao_động tay_chân mệt bở_hơi_tai vui giúp bố_mẹ câu_chuyện bạn_bè lứa tiếng hu hú xe cấp_cứu tiếng bíp bíp monitor than_thở đèn_sách câu_chuyện hậu tốt_nghiệp chúng_nó học người_lớn sựlàm tiền d watching the sunrisengày âm_thanh làng_xã kính thưa cụ toàn_thể nhân_dân thôn thông báothông báo hội tuổiđúng cụ_già cụ mất_ngủ dậy vtrời tờ_mờ đường xá thôn_quê nhộn_nhịp tiếng chó đi đái ỉatiếng đi thể dụctiếng mấy mẹ gọi dậy gọi hàng_xóm tiếng đi chợ tiếng chó sủa inh_ỏi xóm_làng âm_thanh đánh_thức con_bé thèm ngủ tia nắng xuyên khung cửa_sổ giường vểnh tai lắng_nghe âm_thanh quen_thuộc kia hốt_hoảng bật dậymọi trải_nghiệm thức dậya lê_hấp h phút dậy tiếng chuông báo_thức thường_lệ leo tầng thượng động_tác giãn chân ngực giãn mồm chào_hỏi hàng_xóm vọng kiavà tiếc quê nghé chợ sángnơi món thở thơ_ấu hàng chạy lượn vòng_quanh chợ chợ quê bánh bánh_chưng rán nóng giòng gói lớp lá dong cắn phát thơm ngon béo ngậy bánh_cuốn nhân thịt băm mọc nhĩ bánh_đúc nhân lạc mua nội trêu câu đời_nào bánh_đúc xươngđời mẹ_ghẻ thương chồng bánh_giầy bánh_giò bánh_tẻ bánh_khoai bánh_nếp nếp mặn ti_tỉ bánh xôi_ngô mỡ hành xôi_gấc đỏđặc biệt món cháo thịt băm đập trứng vịt lộnngon bổ_dưỡng món chả chánthế hồi xưa đi học bạn_bè quán cháo ới phong thánh cháocó vẻ bánh_rán già đi đi chợ làng xong đómình quyết_định đi ngoại đồ_ăn ôngmình đứa miệng đi đi người_thân chào to cười tít mắtcác làng chẳng mìnhmới đứa trẻ lẻo chân đi trưa nắng rình rình rủ ta làng_chơi nhảy_dây đi vải thừa may váy búp_bê đen_nhẻm hội thiếu_nữ xinh gái quan_điểm ngõ ngoại cây_ăn_quả bưởi dân_dã thôn_quê tỉnh bắc bộsau ghé giếng sen làng đôi_khi sống quê cao_tầng mọc san_sát đường xá chật_hẹp đình miếu giếng sen lưu_giữ sự_tích truyền_thống làng xãnhững hôm tết_nhất thanh_niên đi dịp hỏi_han học công_việc thế_hệ trẻ báo_cáo thành_tích tự_hào sinh làng làng đồng tỉnh thế_hệ đi thành_tích học_tập thành_đạt hôm nayđây đình làng chiều họp chợ đâyđây miếu giếng sen làng thờ thần hoàng làngngày tuần quê hoạt_động đám_cưới đám_hỏi đám dỗ đơn_giản tụ_họp con_cháu tuần quê hôm_nay bố_mẹ đi cỗ chị_em liệu nấu_ăn nhaumình tót nội nằm võng đọc sáchmình trông_nom đọc chương sách chuyên_ngành nghe_lỏm mấy bà_cụ làng xóm đi bao giờhình ảnh mấy lão làng quê na_ná tóc trắng_muốt nhuộm đen nhai trầu móm_mém vuốt miệng mép dính trầuchiều cn vui tàn bố đi dỡ rạp hôm_nay luân đau chân chị_em xung_phong đi dỡ rạp bố bố càu_nhàu chị_em chậm_chạp ngứa_mắt sâu bố chị_em vận_động đồng_tiền dễ_dàng chút đi bố năn_nỉ sợ bố đi va_đập chân_tay nén chẳng dám há mồm kêu đau đuổi thương tiếcnhưng dự_đoán hai đệ_tử chê chê mặt bố kêu đấy bọn trẻ thời chán lắm chúng_nó để_ý lóng nga lóng ngóngcon bé nhanh_nhảu đáp bố bảo bọn hôm luân hôm_nay bọn chậm tiếng quen con_bé lí_luận nhàtrai đẹp sợ gái lao_động chân_tay dám đăng faceđây bố mìnhbố trăm nghề nuôi sống tụi mìnhnghề bắc rạp đám cướivà bố chủ đi làm_thuê nhắc đếnbố tuyệt_vời chiều nghé tốt_nghiệp đi hơi điên_điên tiền hàng đa_cấp dạng mỹ_phẩm con_buôn cầu_nối tây quen trung_tâm ta hưởng phần_trăm học đi học lái ô_tô dự_phòng tương_lai ngày_một đi du_lịch m mũi tẹt ứng_tuyển tiếp_viên hàng than_phiền học đằng làm_việc lẻo kinh_tế y_dược giáo_viên toàn ngành thúc_đẩy đi tự_hào quê_hương quê_hương luỹ tre làng quê_hương tường san_sát tàu_xe tấp_nập người_thân xóm_giềng thơ bạn_bè bất_chấp thời_đại nàolũ cháu dừng haha cháu tiên_sư bố mày thằng huynh đứa bồng_bế chủ_nhật quê vchúc tuần vui_vẻ d,1
ta khoe khoe xe khoe tiền bố_mẹ khoe,5
xe cup mấy liền,5
truy_tố phạt hành_chính lừa_đảo tổ_chức tiền trăm tỷ tội truyền_bá mê_tín dị_đoan,4
quen hai_bàn_tay_trắng đi học nghề đòi_hỏi tiền sàimỗi tuần tiền học gọi ok vé bay tiền du lịchmõi đi toàn nhà_hàng trọngmỗi mua dụng_cụ học mua vui_vẻ đồng_ý vô_tình đọc mẹ đi sắm đồ vô_tình đọc comment mẹ luc nho mẹ đi sắm đồ nửathế đi sắm đồ sắm trmỗi đi choi nhắc mua quà ví tiền lặng lặng triệu vô ví lỡ bạn_bè ga_lăng tiền hãnh_diện thếmình tiền mua mua tiền mìnhmình cầm tiêu vặt có_thai kêu mua thuốc hoá_ra ta yêu ta yêu vợ ta gái ta đường đau_buồn lắm vợ ta ta cưới_hỏi thú_vui nhất_thời đau_khổ trốn chui trốn lủi chỗ đối_diện cha_mẹ hàng_xóm chồng chửa đau_khổ kết_thúc nghèo liệu ta yêu đau_khổ ăn_uống gia_đình có_thai cuộc_đời nhieu theo_đuổi ai_lại vợ,4
đm chạy viết đi,4
ớn,0
phim us and them ước giá_như có_lẽ tàn_nhẫn vậyem đứa chẳng đọc ngôn tình phim tình_cảm chả động_lòng suy_ngẫm chú_ý cho_dù phim tình_cảm dường_như tình_yêu trò_chơi khácem cười_khẩy đau_khổ mất_mát tình_yêu dõng_dạc vô_tình bướng_bỉnh lắng_nghe ích_kỷ tình yêucuối phim đi suy_nghĩ suy_nghĩ tình_yêu cuộc_sống trôi cuộc_đời hỉ nộ ố trải thổn_thức đósau học yêu_thương người_yêu rồiem chút tiếc_nuối tình_yêu đúng_đắn tình_yêu ảnh_hưởng sự_nghiệp sự_nghiệp đúng_đắn sự_nghiệp ảnh_hưởng tình yêuthật hai phương tiểu kiến cuộc_đời hy_vọng dũng_khí đờiviết viết emnhững bốc_đồng cuồng_nhiệt trẻ dại tự_tin chặng đường vấp_ngã ích_kỷ trưởng_thành đứng ngưỡng_cửa trưởng_thành hy_vọng cuộc_đời mong_muốn thế_giới màu_sắc cảnh trắng_đen đánh_đổi trưởng_thành triết_lý hy_vọng đau lòngnhư thư bố kiến phụ rồicó thể số_phận yêu đổ_vỡ thiếu_hụt sâu tâm_hồn ta cuộc_sống ý_nghĩa nhấthái trời nhặt trai biển đượcrồi ổn tụi mìnhkhuê khuê viết chút tình_yêu suy_nghĩ lắm up nhạc khóc tu tu lovestory love storytelling usandthem,2
đồ_ăn đi kẻo đói tội_nghiệp,2
cẩn_thận phát ngậm bả,3
sợ giật_mình tao dumehuhonchimen,3
thế_giới sợ tâm tịnh tiêu nha mấy,3
tao chồng,2
nói_chữ dừng nước_mắt ngưng đau,2
đẹp_trai hết_sức,1
mày thận rửa mặt đi,0
hôm_qua đi tham_gia ghi_hình chương_trình hẹn_hò hài hài làm_việc xong rảnh đăng_ký tham_gia chương_trình trùng_hợp tết hà_nội may_mắn ban biên_tập chương_trình đầu đi hình run hồi_hộp chào mc hồng vân quyền linh trường_quay cười ầm ngại dấu mặt ghi_hình biên_tập dặn_dò phát_sóng thoải_mái đi sai chương_trình sóng cắt chỉnh_sửa lo yên_tâm đoạn giới_thiệu hội_trường đông run mồ_hôi_mồ_kê chảy ướt quyền linh cười giới_thiệu xong nữ giới_thiệu run chả nữ giới_thiệu nữ cất giọng mía lùi sống bắc đầu giọng hai giới_thiệu xong quan_điểm tình_yêu mấy vân_vân mây mây màn kéo rèm đứa nói_chuyện hợp hồi_hộp màn kéo rèm màn tốn giây cảm_tưởng trôi kiểu trạng quỳnh nấu mầm đá vua rèm kéo đôi giầy búp_bê đế hiện đôi chân hiện gà gáy té le té le tiên_sư báo_thức báo đi báo tức vớ điện_thoại tắt báo_thức xong đi ngủ tiếp mãi mơ đoạn đấy cay tý mặt,4
trẻ có_mặt trái_đất thử_thách nhặt rác vứt rác bừa_bãi toàn trẻ trâu tham_gia,0
đời sợ mấy trùn trùn ri giun_đất rắn tiết học_sinh học mổ giun_đất,3
giỏi đạp ngất đi đầu thành_công,1
tao sợ chó lắm,3
tưởng_tượng sông cá_sấu dám đi,3
vui_tính tí,2
thằng ngu vãi,0
suy_nghĩ gọi công_bằng câu_chuyện hệ quy chiếu thầy kính_phục bọn trẻ kêu_ca đứa kia giàu ăn_sung_mặc_sướng đi học đi chẳng lo học_hành chúng_nó học xong ra_đời bố_mẹ chống lưng chỗ chỗ kia gia_đình bình_thường tự_lực_cánh_sinh vất_vả học_tập trường học giỏi chúng_nó kẻ bọn đời bất_công thầy xong buồn_cười bọn trẻ công_bằng đạo_lý toàn vĩ_mô kinh thế_này so_sánh thế_hệ bất_công con_em giàu nghèo xét hệ quy chiếu xã_hội công_bằng bố_mẹ đứa giàu ông_bà tổ_tiên làm_việc sinh khối tài_sản con_cháu bố_mẹ chăm_chỉ làm_việc ta đừng nói_chuyện công_bằng phóng tầm_mắt hai giàu nghèo lắm con_người sẵn_sàng nỗ_lực cầu tiến bềntừ hai chữ công_bằng bất_công chẳng chấp_nhận bất_công hụt_hẫng hôm tệ công_sức khen_ngợi tán_thưởng nghẹt_thở teamwork công hôm đi nhắn_tin giải_thưởng xứng_đáng oke dừng đừng suy_nghĩ quý hôm_nay hình post khen_ngợi phát_hiện gạt đầu cố kẻ bất_công hô thể_hiện hào_hứng thế_giới ê tao cực chơi_chữ cảm_xúc tiêu_cực cố_gắng giải_thoát quên đi hành_xử ném dòng chữ_nghĩa ném rác thùng bẩn bất_công kêu thíchkhông tệ triết_học cuộc_đời bất_công hôm_nay socrates vị triết_gia chết con_người xử tội công_bằng thực_thi ngàn triết_học tuyệt_vời chết sai_lầm công_bằng đoạn đường công_bằng lộ công_bằng xuất_phát bất_công công_bằng đợi đi tiếpừ suy_nghĩ đọc dòng cố buồn suy_nghĩ quý có_lẽ cảm_nhận ghét chẳng thèm đầu dám suy_nghĩ sợ quan_hệ chị_em chấm_dứt hôm_nay kẻ hai mặt kiểu ngoài_mặt thể_hiện kiểu hòn đá rào_cản suy_nghĩ tệ quý cảm_nhận vứt kết câu sến but sure,2
vcb làm_việc kiểu hách_dịch v,0
đi niềm,2
nói_tóm_lại mau axít đậm_đặc thùng nhựa kế ổn đừng dại nhá,4
chào sống kỷ băng_hà,5
chán vleu cơm tối xong đi_rửa bát tắm_rửa bảo chồng đẩy đi tí mát_mẻ chồng ok đồ đeo khẩu_trang đẩy xe huýt_sáo đường vô_cùng hoành_tráng tự_tin xong lướt vụ đường lý nam đế đậu má say_sưa lướt lên_đồng_hồ h thằng chồng đ mò mặt nóng_ruột chạy vù đường đi trời_ơi đi dạo_mát khổ_thân share linh nii,4
đất_nước khoản tri đám cổ_động_viên quá_khích cụ bảo ngu_dốt trá giá tiền_mặt bảo dân_trí tự_ái,0
sức hút tao cắt mùa hè tóc nóng mẹ,5
t facebook coi mấy,0
nhắn nhắn công_nhận nguy_hiểm,3
thả phẫn_nộ xứng_đáng thiên_thần dăm_ba yêu_đương vớ_vẩn ahuhuhu,2
đổ_vỡ hàn_gắn đầu,3
đi không_khí xuân đi tao chợ km,1
giáo_viên quyền dạy thời_buổi lố_lăng quỳ sai sửa đợi bố_mẹ quỳ nhà_đá,4
má thằng áo vàng lầy ghê,5
nhu_cầu mày khoái mấy video tao tag mày,5
giúp thương,2
